index,dataset_dir,topic,paper_title,has_pdf,has_extracted_json,has_human_annotation,has_alignment,has_figures,alignment_files,figure_records,alignment_pairs
11,/Users/home/Desktop/organized_75papers_dataset/papers/011__PBO fibers_fluorine-containing liquid crystal compound modified cyanate ester wave-transparent laminated composites with excellent mechanical and flam,PMC文献挖掘,PBO fibers/fluorine-containing liquid crystal compound modified cyanate ester wave-transparent laminated composites with excellent mechanical and flame retardance properties,True,True,True,True,True,9,9,45
12,/Users/home/Desktop/organized_75papers_dataset/papers/012__Tg-mismatch driven dual polyamic acid interphase_ A morphology-guided approach to strengthen carbon fiber_thermoplastic interfaces,PMC文献挖掘,Tg-mismatch driven dual polyamic acid interphase: A morphology-guided approach to strengthen carbon fiber/thermoplastic interfaces,True,True,True,True,True,9,8,40
13,/Users/home/Desktop/organized_75papers_dataset/papers/013__Effect of molecular weight of water-based sizing agents on CF processability and CF_PPS composite performance,PMC文献挖掘,Effect of molecular weight of water-based sizing agents on CF processability and CF/PPS composite performance,True,True,True,True,True,9,7,35
14,/Users/home/Desktop/organized_75papers_dataset/papers/014__Branched Fluorine_Adamantane Interfacial Compatibilizer for PBO Fibers_Cyanate Ester Wave-Transparent Laminated Composites,PMC文献挖掘,Branched Fluorine/Adamantane Interfacial Compatibilizer for PBO Fibers/Cyanate Ester Wave-Transparent Laminated Composites,True,True,True,True,True,9,6,30
15,/Users/home/Desktop/organized_75papers_dataset/papers/015__Preparation of pleated RGO_MXene_Fe3O4 microsphere and its absorption properties for electromagnetic wave,PMC文献挖掘,Preparation of pleated RGO/MXene/Fe3O4 microsphere and its absorption properties for electromagnetic wave,True,True,True,True,True,9,9,45
16,/Users/home/Desktop/organized_75papers_dataset/papers/016__Magnesia-stabilized zirconia (MSZ) thermal barrier coatings by suspension plasma spraying_ Coating properties and service life behavior,涂层方向,Magnesia-stabilized zirconia (MSZ) thermal barrier coatings by suspension plasma spraying: Coating properties and service life behavior,True,True,True,True,True,9,11,55
17,/Users/home/Desktop/organized_75papers_dataset/papers/017__Phase formation capability and compositional design of β-phase multiple rare-earth principal component disilicates,涂层方向,Phase formation capability and compositional design of β-phase multiple rare-earth principal component disilicates,True,True,True,True,True,9,11,55
18,/Users/home/Desktop/organized_75papers_dataset/papers/018__Revealing the oxidation growth mechanism and crack evolution law of novel Si-HfO2_Yb2Si2O7_Yb2SiO5 environmental barrier coatings during thermal cycli,涂层方向,Revealing the oxidation growth mechanism and crack evolution law of novel Si-HfO2/Yb2Si2O7/Yb2SiO5 environmental barrier coatings during thermal cycling,True,True,True,True,True,9,22,110
19,"/Users/home/Desktop/organized_75papers_dataset/papers/019__The crack formation, propagation and healing mechanisms of plasma sprayed multi-layer thermal_environmental barrier coatings during heat treatment",涂层方向,"The crack formation, propagation and healing mechanisms of plasma sprayed multi-layer thermal/environmental barrier coatings during heat treatment",True,True,True,True,True,9,13,65
20,/Users/home/Desktop/organized_75papers_dataset/papers/020__High temperature performances of abradable sealing coating for ceramic matrix composites,涂层方向,High temperature performances of abradable sealing coating for ceramic matrix composites,True,True,True,True,True,9,15,75
21,/Users/home/Desktop/organized_75papers_dataset/papers/021__A high-throughput molecular dynamics study with a machine-learning method on predicting diffusion coefficient of hydrogen in α-iron grain boundaries,增材,A high-throughput molecular dynamics study with a machine-learning method on predicting diffusion coefficient of hydrogen in α-iron grain boundaries,True,True,True,True,True,9,5,25
22,/Users/home/Desktop/organized_75papers_dataset/papers/022__Multiscale modeling of hydrogen diffusion in iron_ Effect of applied stresses and dislocations,增材,Multiscale modeling of hydrogen diffusion in iron: Effect of applied stresses and dislocations,True,True,True,False,False,0,0,0
23,/Users/home/Desktop/organized_75papers_dataset/papers/023__Exploring microstructure evolution in CoCrFeNi high-entropy alloy during laser powder bed fusion_ A molecular dynamics simulation,增材,Exploring microstructure evolution in CoCrFeNi high-entropy alloy during laser powder bed fusion: A molecular dynamics simulation,True,True,True,True,True,9,12,60
24,/Users/home/Desktop/organized_75papers_dataset/papers/024__Grain boundaries are Brownian ratchets,增材,Grain boundaries are Brownian ratchets,True,True,True,True,True,9,10,50
25,/Users/home/Desktop/organized_75papers_dataset/papers/025__GPUMD 4.0_ A high-performance molecular dynamics package for versatile materials simulations with machine-learned potentials,增材,GPUMD 4.0: A high-performance molecular dynamics package for versatile materials simulations with machine-learned potentials,True,True,True,True,True,9,1,5
26,/Users/home/Desktop/organized_75papers_dataset/papers/026__A comparison of internal hydrogen embrittlement and hydrogen environment embrittlement of X-750,AI文献检索,A comparison of internal hydrogen embrittlement and hydrogen environment embrittlement of X-750,True,True,True,True,True,9,10,50
27,/Users/home/Desktop/organized_75papers_dataset/papers/027__A phase field model for hydrogen-assisted fatigue,AI文献检索,A phase field model for hydrogen-assisted fatigue,True,True,True,True,True,9,9,45
28,/Users/home/Desktop/organized_75papers_dataset/papers/028__Hydrogen-assisted fatigue crack growth_ Pre-charging vs in-situ testing in gaseous environments,AI文献检索,Hydrogen-assisted fatigue crack growth: Pre-charging vs in-situ testing in gaseous environments,True,True,True,True,True,9,16,80
29,"/Users/home/Desktop/organized_75papers_dataset/papers/029__Overview of constitutive laws, kinematics, homogenization and multiscale methods in crystal plasticity finite-element modeling_ Theory, experiments, a",AI文献检索,"Overview of constitutive laws, kinematics, homogenization and multiscale methods in crystal plasticity finite-element modeling: Theory, experiments, applications",True,True,True,True,True,9,47,235
30,/Users/home/Desktop/organized_75papers_dataset/papers/030__A phase-field approach to fatigue analysis_ Bridging theory and simulation,AI文献检索,A phase-field approach to fatigue analysis: Bridging theory and simulation,True,True,True,True,True,9,26,130
31,/Users/home/Desktop/organized_75papers_dataset/papers/031__Additive manufacturing Ti-22Al-25Nb alloy with excellent high temperature tensile properties by electron beam powder bed fusion,增材制造,Additive manufacturing Ti-22Al-25Nb alloy with excellent high temperature tensile properties by electron beam powder bed fusion,True,True,True,True,True,9,9,45
32,/Users/home/Desktop/organized_75papers_dataset/papers/032__Electron beam powder bed fusion of Y2O3_gamma-TiAl nanocomposite with balanced strength and toughness,增材制造,Electron beam powder bed fusion of Y2O3/gamma-TiAl nanocomposite with balanced strength and toughness,True,True,True,True,True,9,16,80
33,/Users/home/Desktop/organized_75papers_dataset/papers/033__Peculiar microstructural evolution and tensile properties of β-containing γ-TiAl alloys fabricated by electron beam melting,增材制造,Peculiar microstructural evolution and tensile properties of β-containing γ-TiAl alloys fabricated by electron beam melting,True,True,True,True,True,9,23,115
34,/Users/home/Desktop/organized_75papers_dataset/papers/034__Powder recycling for electron beam powder bed fusion of TiAl alloy,增材制造,Powder recycling for electron beam powder bed fusion of TiAl alloy,True,True,True,True,True,9,10,50
35,/Users/home/Desktop/organized_75papers_dataset/papers/035__Effect of building direction on the microstructure and tensile properties of Ti-48Al-2Cr-2Nb alloy additively manufactured by electron beam melting,增材制造,Effect of building direction on the microstructure and tensile properties of Ti-48Al-2Cr-2Nb alloy additively manufactured by electron beam melting,True,True,True,True,True,9,8,40
36,/Users/home/Desktop/organized_75papers_dataset/papers/036__Effect of stacking fault segregation and local phase transformations on creep strength in Ni-base superalloys,高温合金,Effect of stacking fault segregation and local phase transformations on creep strength in Ni-base superalloys,True,True,True,True,True,9,10,50
37,/Users/home/Desktop/organized_75papers_dataset/papers/037__On the effect of boron on grain boundary character in a new polycrystalline superalloy,高温合金,On the effect of boron on grain boundary character in a new polycrystalline superalloy,True,True,True,True,True,9,16,80
38,/Users/home/Desktop/organized_75papers_dataset/papers/038__Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,高温合金,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,True,True,True,True,True,9,7,35
39,/Users/home/Desktop/organized_75papers_dataset/papers/039__Temperature_stress dependence of stress rupture behavior and deformation microstructure of an advanced superalloy for additive manufacturing,高温合金,Temperature/stress dependence of stress rupture behavior and deformation microstructure of an advanced superalloy for additive manufacturing,True,True,True,True,True,9,10,50
40,/Users/home/Desktop/organized_75papers_dataset/papers/040__Enhanced creep resistance induced by minor Ti additions to a second generation nickel-based single crystal superalloy,高温合金,Enhanced creep resistance induced by minor Ti additions to a second generation nickel-based single crystal superalloy,True,True,True,True,True,9,9,45
41,/Users/home/Desktop/organized_75papers_dataset/papers/041__Characterization of Inconel 625 fabricated using powder-bed-based additive manufacturing technologies,增材,Characterization of Inconel 625 fabricated using powder-bed-based additive manufacturing technologies,True,True,True,True,True,9,6,30
42,"/Users/home/Desktop/organized_75papers_dataset/papers/042__Densification, microstructure, and mechanical properties of heat-treated MAR-M247 fabricated by Binder Jetting",增材,"Densification, microstructure, and mechanical properties of heat-treated MAR-M247 fabricated by Binder Jetting",True,True,True,True,True,9,21,105
43,/Users/home/Desktop/organized_75papers_dataset/papers/043__Microstructural evolution and mechanical properties of differently heat-treated binder jet printed samples from gas- and water-atomized alloy 625 powd,增材,Microstructural evolution and mechanical properties of differently heat-treated binder jet printed samples from gas- and water-atomized alloy 625 powders,True,True,True,True,True,9,6,30
44,"/Users/home/Desktop/organized_75papers_dataset/papers/044__Powder bed binder jet printed alloy 625_ Densification, microstructure and mechanical properties",增材,"Powder bed binder jet printed alloy 625: Densification, microstructure and mechanical properties",True,True,True,True,True,9,10,50
45,/Users/home/Desktop/organized_75papers_dataset/papers/045__Active learning framework to optimize process parameters for additive-manufactured Ti-6Al-4V with high strength and ductility,增材,Active learning framework to optimize process parameters for additive-manufactured Ti-6Al-4V with high strength and ductility,True,True,True,True,True,9,11,55
46,/Users/home/Desktop/organized_75papers_dataset/papers/046__A comparative analysis of Inconel 718 made by additive manufacturing and suction casting_ Microstructure evolution in homogenization,增材,A comparative analysis of Inconel 718 made by additive manufacturing and suction casting: Microstructure evolution in homogenization,True,True,True,True,True,9,6,30
47,/Users/home/Desktop/organized_75papers_dataset/papers/047__Microstructural evolution and formation of fine grains during fatigue crack initiation process of laser powder bed fusion Ni-based superalloy,增材,Microstructural evolution and formation of fine grains during fatigue crack initiation process of laser powder bed fusion Ni-based superalloy,True,True,True,True,True,9,12,60
48,/Users/home/Desktop/organized_75papers_dataset/papers/048__The impact of surface orientation on surface roughness and fatigue life of laser-based powder bed fusion Ti-6Al-4V,增材,The impact of surface orientation on surface roughness and fatigue life of laser-based powder bed fusion Ti-6Al-4V,True,True,True,True,True,9,12,60
49,/Users/home/Desktop/organized_75papers_dataset/papers/049__Tailoring thickness debit for high-temperature fatigue resistance of Inconel 718 superalloy fabricated by laser powder bed fusion,增材,Tailoring thickness debit for high-temperature fatigue resistance of Inconel 718 superalloy fabricated by laser powder bed fusion,True,True,True,True,True,9,9,45
50,/Users/home/Desktop/organized_75papers_dataset/papers/050__Dispersion hardening using amorphous nanoparticles deployed via additive manufacturing,增材,Dispersion hardening using amorphous nanoparticles deployed via additive manufacturing,True,True,True,True,True,9,5,25
51,/Users/home/Desktop/organized_75papers_dataset/papers/051__High strength Al–Li alloy development for laser powder bed fusion,增材,High strength Al–Li alloy development for laser powder bed fusion,True,True,True,True,True,9,13,65
52,/Users/home/Desktop/organized_75papers_dataset/papers/052__Achieving superior high-temperature mechanical properties in Al-Cu-Li-Sc-Zr alloy with nano-scale microstructure via laser additive manufacturing,增材,Achieving superior high-temperature mechanical properties in Al-Cu-Li-Sc-Zr alloy with nano-scale microstructure via laser additive manufacturing,True,True,True,True,True,9,3,15
53,"/Users/home/Desktop/organized_75papers_dataset/papers/053__Additive manufacturing of an ultrastrong, deformable Al alloy with nanoscale intermetallics",增材,"Additive manufacturing of an ultrastrong, deformable Al alloy with nanoscale intermetallics",True,True,True,True,True,9,14,70
54,/Users/home/Desktop/organized_75papers_dataset/papers/054__Improving ductility via grain structure control in Sc_Zr modified Al-Cu-Li alloys by pulsed-laser powder bed fusion,增材,Improving ductility via grain structure control in Sc/Zr modified Al-Cu-Li alloys by pulsed-laser powder bed fusion,True,True,True,True,True,9,8,40
55,"/Users/home/Desktop/organized_75papers_dataset/papers/055__A high strength Al–Li alloy produced by laser powder bed fusion_ Densification, microstructure, and mechanical properties",增材,"A high strength Al–Li alloy produced by laser powder bed fusion: Densification, microstructure, and mechanical properties",True,True,True,True,True,9,15,75
56,/Users/home/Desktop/organized_75papers_dataset/papers/056__Superior corrosion resistance and its origins in an additively manufactured Co-Cr-Ni-Al-Ti high-entropy alloy with nano-lamellar precipitates,增材制造高熵合金,Superior corrosion resistance and its origins in an additively manufactured Co-Cr-Ni-Al-Ti high-entropy alloy with nano-lamellar precipitates,True,True,True,True,True,9,15,75
57,/Users/home/Desktop/organized_75papers_dataset/papers/057__Nanotwinned precipitates induced ultra-strong AlCoCrFeNi2.1 eutectic high-entropy alloy through additive manufacturing,增材制造高熵合金,Nanotwinned precipitates induced ultra-strong AlCoCrFeNi2.1 eutectic high-entropy alloy through additive manufacturing,True,True,True,True,True,9,6,30
58,"/Users/home/Desktop/organized_75papers_dataset/papers/058__Highly printable, strong, and ductile ordered intermetallic alloy",增材制造高熵合金,"Highly printable, strong, and ductile ordered intermetallic alloy",True,True,True,True,True,9,4,20
59,/Users/home/Desktop/organized_75papers_dataset/papers/059__In situ tuning of FCC-BCC dual phase and mechanical properties in multi-principal element alloys via laser-aided additive manufacturing,增材制造高熵合金,In situ tuning of FCC-BCC dual phase and mechanical properties in multi-principal element alloys via laser-aided additive manufacturing,True,True,True,True,True,9,8,40
60,/Users/home/Desktop/organized_75papers_dataset/papers/060__Additively manufactured heterogeneous precipitation-strengthened high-entropy alloys with high strength and ductility,增材制造高熵合金,Additively manufactured heterogeneous precipitation-strengthened high-entropy alloys with high strength and ductility,True,True,True,True,True,9,13,65
61,/Users/home/Desktop/organized_75papers_dataset/papers/061__Improving mechanical properties and machining surface quality in a Fe49Mn30Co10Cr10N1 high-entropy alloy sheet by laser-assisted grinding,加工,Improving mechanical properties and machining surface quality in a Fe49Mn30Co10Cr10N1 high-entropy alloy sheet by laser-assisted grinding,True,True,True,True,True,9,7,35
62,/Users/home/Desktop/organized_75papers_dataset/papers/062__Investigation on the machinability of SiCp_Al composite by in-situ laser assisted diamond cutting,加工,Investigation on the machinability of SiCp/Al composite by in-situ laser assisted diamond cutting,True,True,True,True,True,9,9,45
63,/Users/home/Desktop/organized_75papers_dataset/papers/063__Microstructure evolution and nanocrystallization mechanism induced by grinding of hardened AISI 52100 steel,加工,Microstructure evolution and nanocrystallization mechanism induced by grinding of hardened AISI 52100 steel,True,True,True,True,True,9,16,80
64,/Users/home/Desktop/organized_75papers_dataset/papers/064__Surface generation of tungsten carbide in laser-assisted diamond turning,加工,Surface generation of tungsten carbide in laser-assisted diamond turning,True,True,True,True,True,9,22,110
65,/Users/home/Desktop/organized_75papers_dataset/papers/065__Mechanisms in the machinability improvement of Inconel 718 superalloy through ultra-high-speed grinding,加工,Mechanisms in the machinability improvement of Inconel 718 superalloy through ultra-high-speed grinding,True,True,True,True,True,9,38,190
66,"/Users/home/Desktop/organized_75papers_dataset/papers/066__The mechanical, thermophysical and electromagnetic properties of UD SiCf_SiC composites in different directions",CMC专业数据挖掘,"The mechanical, thermophysical and electromagnetic properties of UD SiCf/SiC composites in different directions",True,True,True,True,True,9,8,40
67,/Users/home/Desktop/organized_75papers_dataset/papers/067__Stress engineering of SiCf_SiC composites_ Interfacial stress adjustment and its effects on tensile behaviors of UD SiCf_SiC composites fabricated by,CMC专业数据挖掘,Stress engineering of SiCf/SiC composites: Interfacial stress adjustment and its effects on tensile behaviors of UD SiCf/SiC composites fabricated by hybrid CVI and PIP methods,True,True,True,True,True,9,8,40
68,/Users/home/Desktop/organized_75papers_dataset/papers/068__Effects of in-situ carbon layer and volume fraction of SiC fiber on the mechanical properties and fracture behaviors of SiCf_SiC composites fabricated,CMC专业数据挖掘,Effects of in-situ carbon layer and volume fraction of SiC fiber on the mechanical properties and fracture behaviors of SiCf/SiC composites fabricated by a modified PIP method,True,True,True,True,True,9,9,45
69,/Users/home/Desktop/organized_75papers_dataset/papers/069__Ultrahigh room and high–temperature mechanical properties of SiC_f_SiC composites prepared by hybrid CVI and PIP methods_ Effects of PIP temperature,CMC专业数据挖掘,Ultrahigh room and high–temperature mechanical properties of SiC_f/SiC composites prepared by hybrid CVI and PIP methods: Effects of PIP temperature,True,True,True,True,True,9,9,45
70,/Users/home/Desktop/organized_75papers_dataset/papers/070__Matrix cracking of 2D SiC_SiC composite characterized by in situ SEM and nano-CT,CMC专业数据挖掘,Matrix cracking of 2D SiC/SiC composite characterized by in situ SEM and nano-CT,True,True,True,True,True,9,13,65
71,/Users/home/Desktop/organized_75papers_dataset/papers/071__3-D printed ultrastrong heat-resistant aluminum alloy achieved by bioinspired nanoscale amorphous confinement,增材,3-D printed ultrastrong heat-resistant aluminum alloy achieved by bioinspired nanoscale amorphous confinement,True,True,True,True,True,9,3,15
72,/Users/home/Desktop/organized_75papers_dataset/papers/072__Additively-manufactured Al-0.3Zr-0.2Ce-0.2Cu alloy with high creep resistance and electrical conductivity,增材,Additively-manufactured Al-0.3Zr-0.2Ce-0.2Cu alloy with high creep resistance and electrical conductivity,True,True,True,True,True,9,13,65
73,/Users/home/Desktop/organized_75papers_dataset/papers/073__Mechanical field assisted additive manufacturing of ultrahigh strength aluminum alloy,增材,Mechanical field assisted additive manufacturing of ultrahigh strength aluminum alloy,True,True,True,True,True,9,19,95
74,/Users/home/Desktop/organized_75papers_dataset/papers/074__Harnessing laser-induced in-situ nanowhiskers for high-strength aluminum alloys via additive manufacturing,增材,Harnessing laser-induced in-situ nanowhiskers for high-strength aluminum alloys via additive manufacturing,True,True,True,True,True,9,9,45
75,/Users/home/Desktop/organized_75papers_dataset/papers/075__Additively Manufacturable High-Strength Aluminum Alloys with Coarsening-Resistant Microstructures Achieved via Rapid Solidification,增材,Additively Manufacturable High-Strength Aluminum Alloys with Coarsening-Resistant Microstructures Achieved via Rapid Solidification,True,True,True,True,True,9,8,40
