figure_id,figure_index,figure_path,caption,top1_score,top1_confidence,top1_text,top2_score,top2_confidence,top2_text,top3_score,top3_confidence,top3_text,top4_score,top4_confidence,top4_text,top5_score,top5_confidence,top5_text
image_0010,11,../02_images/figures/image_0010.jpg,As-sintered,0.371868,low,The microstructure of the LPBF 2195 sample mainly consists of coarse columnar grains.,0.361521,low,The microstructure and mechanical properties of the LPBF 2195 samples under the as-fabricated and T6 treatment conditions were systematically investigated.,0.359161,low,"This study examined the changes in particle size distribution, morphology, chemical composition, and phase constituents of Ti-48Al-2Cr-2Nb alloy powders after up to 70 recycling cycles and their impact on the microstructure and mechanical properties of the TiAl alloy.",0.356617,low,Live-dead staining further reveals a significant reduction in the viable SRB cells on the surface of Cu-containing steel.,0.355845,low,The transition from the fully lamellar to duplex microstructure is attributed to the microstructure degradation caused by thermal cycling and exposure at high temperature during the PBF-EB process.
image_0011,12,../02_images/figures/image_0011.jpg,HT1 (1250°→ 700°C),0.348606,low,Live-dead staining further reveals a significant reduction in the viable SRB cells on the surface of Cu-containing steel.,0.3469,low,High-magnification EBSD observations (inset) confirm the presence of B2-type intermetallic precipitates at these stress-concentrated regions.,0.344323,low,S7) indicates that these twins are not caused by the TEM sample preparation.,0.343745,low,"In addition to that, this microstructure shows small grains with then a higher number of grain boundaries and accordingly higher dislocation density.",0.343232,low,The microstructure of the LPBF 2195 sample mainly consists of coarse columnar grains.
image_0012,13,../02_images/figures/image_0012.jpg,HT2 (1250°→ 1000°→ 700°C),0.363487,low,High-magnification EBSD observations (inset) confirm the presence of B2-type intermetallic precipitates at these stress-concentrated regions.,0.359553,low,Live-dead staining further reveals a significant reduction in the viable SRB cells on the surface of Cu-containing steel.,0.358507,low,"Highangle annular dark-field scanning transmission microscopy (HAADF-STEM) and high-resolution TEM (HRTEM) observations were conducted on a Cs-corrected TEM (FEI Themis Z) operated at 300 kV, to trace the microstructural evolutions of the post-annealing at the atomic level.",0.355796,low,"Additional specimens were prepared by focused ion beam milling using an FEI Scios 2 (Thermo Fisher Scientific, USA) to eliminate possible preparation-induced artifacts.",0.354887,low,TEM findings of the CoCrNi(Al0.6TiFe)0.5 alloy after deformation are illustrated in Fig.
image_0013,14,../02_images/figures/image_0013.jpg,HIP1 + HT1 (1250°C → 700°C),0.3659,low,The microstructure of PBF-EB sample is significantly refined when compared to that processed by conventional means.,0.351473,low,"Thus, a smaller layer thickness in PBF-EB process helps to reduce the microstructure degradation.",0.348372,low,Live-dead staining further reveals a significant reduction in the viable SRB cells on the surface of Cu-containing steel.,0.347573,low,High-magnification EBSD observations (inset) confirm the presence of B2-type intermetallic precipitates at these stress-concentrated regions.,0.347434,low,"Oxygen can be seen at a relatively high concentration within the encapsulated and unsintered particles (seen with a bright blue color indication), with point EDS results indicating \~20 wt% oxygen content in certain particles."
image_0014,15,../02_images/figures/image_0014.jpg,HIP1 + HT2 (1250° → 1000°C → 700°C),0.357546,low,Live-dead staining further reveals a significant reduction in the viable SRB cells on the surface of Cu-containing steel.,0.350089,low,The microstructure of PBF-EB sample is significantly refined when compared to that processed by conventional means.,0.347329,low,SKPFM and live/dead staining results provide direct evidence that adding Cu to UHSSs has a significant antibacterial effect and can inhibit SRB activity.,0.344441,low,High-magnification EBSD observations (inset) confirm the presence of B2-type intermetallic precipitates at these stress-concentrated regions.,0.340401,low,"VIC results in a dendritic structure with relatively large grains (> 200 µm), and compositional inhomogeneities on micro- and macroscale [11,30]."
image_0015,16,../02_images/figures/image_0015.jpg,HIP1 + HT3 (700°C),0.368424,low,"In this paper, detailed high resolution characterisation has been carried out of grain boundaries in boron-containing and boronfree versions of a new nickel-based superalloy which is being designed for power generation applications.",0.36272,low,"This study examined the changes in particle size distribution, morphology, chemical composition, and phase constituents of Ti-48Al-2Cr-2Nb alloy powders after up to 70 recycling cycles and their impact on the microstructure and mechanical properties of the TiAl alloy.",0.360883,low,The microstructure of PBF-EB sample is significantly refined when compared to that processed by conventional means.,0.359599,low,"However, in this study, a fully equiaxed grain microstructure was achieved by modulation of the laser mode and processing parameters.",0.356821,low,"This study investigated the machinability of SiCp/Al composite by in-situ laser assisted diamond cutting from the surface quality, tool wear, and subsurface damage."
image_0016,17,../02_images/figures/image_0016.jpg,HIP1 + HT4 (1000°C → 700°),0.371562,low,"In this paper, detailed high resolution characterisation has been carried out of grain boundaries in boron-containing and boronfree versions of a new nickel-based superalloy which is being designed for power generation applications.",0.367094,low,The microstructure of EPBF produced parts showed the development of columnar grains which are associated with anisotropic mechanical properties as confirmed in this study.,0.36497,low,TEM findings of the CoCrNi(Al0.6TiFe)0.5 alloy after deformation are illustrated in Fig.,0.364431,low,"Further, the ultrafine lamellar grain in the LED microstructure is much harder than the lamellar region in the HED microstructure.",0.364087,low,Previous work investigating the role of microstructure on fracture suggested that grain boundary carbides increase the degree o embrittlemen these alloys.
chart_0017,18,../02_images/figures/chart_0017.jpg,"Fig. 15. Hardness values of the MAR-M247 as-sintered and HIP1 sample, before and after the heat treatments HT1-4. The error bars represent the respective standard deviations.",0.514728,high,"The variation among the individual hardness values for a specific sample was reduced significantly after HIP, along with the annihilation of porosity (Fig. 15).",0.512359,high,"The near-surface region ""a"" and the deeper subsurface region $"" \mathbf { b } ""$ overlapping slippage mark of the conventional taper cutting and In-LATC sample were analyzed by HR-TEM as shown in Figs. 15 and 16, respectively.",0.499333,high,"Fig. 15 compares the tensile properties (800 C) of the present PBF-EB $\Upsilon _ { 2 } 0 _ { 3 } / \mathrm { T i A l }$ nanocomposite with pure TiAl alloy and TiAl-based composites prepared by conventional methods (casting, powder metallurgy and hot working).",0.495875,high,The different crack growth mechanisms observed in the BS and CGHAZ are illustrated in Fig. 15.,0.484651,high,"To clarify the spatial distribution of dislocations in the HAM-HT sample, EBSD and TEM were used to characterize the dislocation density and structure along shock depths, as shown in Figure 15."
chart_0018,19,../02_images/figures/chart_0018.jpg,F. 1..,0.356119,low,Stress intensity factor yielded a stronger correlation with fatigue life than stress when the data was grouped by upward and downward-facing roughness.,0.342892,low,"These results arise from the fact that α-cristobalite, which is stable at lower temperatures, has a higher CTE than β-cristobalite at higher temperatures.",0.34173,low,"At this stage, the increased strength at location 3 due to work hardening is greater than the increased stress concentration due to crosssectional reduction.",0.339851,low,"Although this study did not fully consider the impact of volume expansion on the actual thermal mismatch stress, it considered CTE change caused by the cristobalite phase transition when LCTE and elastic modulus for m-TGO layer were selected [27], thereby enhancing the credibility of $\sigma _ { \mathrm { t } }$ Furthermore, although $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ layer imposes a constraint force on the expansion of m-TGO during thermal cycling, which affects the results of Eq. (7), its ability to estimate $\sigma _ { \mathrm { t } }$ between m-TGO and CMC is supported by several factors: (1) The bonding strength between the substrate and bond coating is generally greater than that between the top coat and bond coating, leading to a more significant constraint force by CMC substrate to $\mathrm { Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ layer; (2) the distribution of grains and voids within m-TGO influences the constraint force, which is more pronounced near m-$\mathrm { T G O / Y b } _ { 2 } \mathrm { S i } _ { 2 } \mathrm { O } _ { 7 }$ interface but weaker overall.",0.338736,low,The reduction in the interacial strength would result in a lower macroscopic strain required for the initiation of a microcrack.
chart_0019,20,../02_images/figures/chart_0019.jpg,"Fig. 17. Tensile properties of MAR-M247 made by Binder Jetting (BJ), Metal Injection Molding (MIM), and Vacuum Investment Casting (VIC) after HIP and heat treatment. HIP for MIM and VIC was at $1 1 8 5 ~ ^ { \circ } \mathrm { C }$ and approx. 170 MPa for 4 h. Heat treatment for MIM was at 1230 °C for two hours, 1280 °C for two hours, 1080 °C for four hours, and 870 °C for 20 h [30]. Heat treatment for VIC was at 1185 °C for two hours and 871 °C for 20 h [45]. The error bars represent the respective standard deviations. For MIM, no standard deviation was reported.",0.515588,high,"In Fig. 17, the average tensile properties at room temperature, independent of build-direction, in the HIP and HT2 conditions that were obtained in this work are shown.",0.495155,high,"Figure 17 summarises the precipitation evolution of the LPBF, LPBF-HT, and HAM-HT samples.",0.483868,high,"The LPBF sample is primarily composed of infrequent Al3(Sc, Zr) precipitates (Figure 17(a)).",0.478323,high,Figure 17(a1) initially shows that the region between the left vertical mud crack and the right bifurcated crack exhibited lower strain in the early stage of cooling.,0.476707,high,The fracture surfaces of the as-fabricated (Fig. 17(a)) and T6 (Fig. 17(b)) LPBF 2195 samples were observed at low and high magnification.
chart_0020,21,../02_images/figures/chart_0020.jpg,Fig. 18. Relative densities of MAR-M247 samples made by Binder Jetting. The error bars represent the respective standard deviations.,0.502041,high,"As shown in Fig. 18, the hardness of the lamellae and the β phase is higher than that of the γ phase.",0.498322,high,"As depicted in Fig. 18, in machining of metallic materials, approximately 75 %, 20 %, and 5 % of heat generation originates from internal friction in the primary deformation zone and external friction in the secondary and tertiary deformation zones, respectively.",0.492117,high,"A multi-gradient microstructures preparation method for HAM-HT is proposed, which can achieve high density and address the trade-off between strength and ductility by tailoring hierarchical gradient microstructures, and the detailed microstructure is shown in Figure 18.",0.489301,high,"The grain refinement in the HAM-HT sample, particularly the ultrafine/nano grains in the interlayer USP impact layers (see Figure 18(a)), led to the grain boundary strengthening",0.460444,high,Fig. 18 illustrates how two cavities that are close together may not coalesce preferentially if the slip systems are not favorably oriented.
